Total,New,Imported,Domestic
100,23,21,2
108,8,7,1
135,27,24,3
153,18,18,0
169,16,13,3
195,26,25,1
216,21,20,1
235,19,19,0
252,17,15,2
267,15,15,0
283,16,14,2
298,15,14,1
306,8,7,1
322,16,14,2
329,7,6,1
339,10,8,2
348,9,7,2
355,7,6,1
363,8,8,0
373,10,9,1
376,3,3,0
379,3,2,1
380,1,0,1
382,2,2,0
385,3,3,0
388,3,2,1
393,5,5,0
393,0,0,0
395,2,2,0
395,0,0,0
395,0,0,0
398,3,0,3
420,22,0,22
422,2,2,0
425,3,0,3
426,1,0,1
427,1,0,1
428,1,0,1
429,1,0,1
429,0,0,0
429,0,0,0
429,0,0,0
429,0,0,0
429,0,0,0
429,0,0,0
432,3,3,0
436,4,4,0
438,2,1,1
438,0,0,0
